Afghanistan Afghani
Albanian Lek
Algerian Dinar
Andorran Franc
Andorran Peseta
Angolan New Kwanza
Argentine Peso
Aruban Florin
Australian Dollar
Austrian Schilling
Bahamian Dollar
Bahraini Dinar
Bangladeshi Taka
Barbados Dollar
Belgian Franc
Belize Dollar
Bermudian Dollar
Bhutan Ngultrum
Bolivian Boliviano
Botswana Pula
Brazilian Real
British Pound
Brunei Dollar
Bulgarian Lev
Burundi Franc
CFA Franc BCEAO
CFA Franc BEAC
Cambodian Riel
Canadian Dollar
Cape Verde Escudo
Cayman Islands Dollar
Chilean Peso
Chinese Yuan Renminbi
Colombian Peso
Comoros Franc
Costa Rican Colon
Croatian Kuna
Cuban Peso
Cyprus Pound
Czech Koruna
Danish Krone
Djibouti Franc
Dominican Peso
Dutch Guilder
ECU
Ecuador Sucre
Egyptian Pound
El Salvador Colon
Estonian Kroon
Ethiopian Birr
Falkland Islands Pound
Fiji Dollar
Finnish Markka
French Franc
Gambian Dalasi
German Mark
German Mark
Ghanaian Cedi
Gibraltar Pound
Greek Drachma
Guatemalan Quetzal
Guinea Franc
Guinea-Bissau Peso
Guyanan Dollar
Haitian Gourde
Honduran Lempira
Hong Kong Dollar
Hungarian Forint
Iceland Krona
Indian Rupee
Indonesian Rupiah
Iranian Rial
Iraqi Dinar
Irish Punt
Israeli New Shekel
Italian Lira
Jamaican Dollar
Japanese Yen
Jordanian Dinar
Kampuchean Riel
Kazakhstan Tenge
Kenyan Shilling
Korean Won
Kuwaiti Dinar
Lao Kip
Latvian Lats
Lebanese Pound
Lesotho Loti
Liberian Dollar
Libyan Dinar
Lithuanian Litas
Luxembourg Franc
Macau Pataca
Malagasy Franc
Malawi Kwacha
Malaysian Ringgit
Maldive Rufiyaa
Maltese Lira
Mauritanian Ouguiya
Mauritius Rupee
Mexican Peso
Mongolian Tugrik
Moroccan Dirham
Mozambique Metical
Myanmar Kyat
NL Antillian Guilder
Namibia Dollar
Nepalese Rupee
Netherlands Guilder
New Zealand Dollar
Nicaraguan Cordoba Oro
Nigerian Naira
North Korean Won
Norwegian Kroner
Omani Rial
Pakistan Rupee
Palladium (oz.)
Panamanian Balboa
Papua New Guinea Kina
Paraguay Guarani
Peruvian Nuevo Sol
Philippine Peso
Polish Zloty
Portuguese Escudo
Pound Sterling
Qatari Rial
Romanian Leu
Russian Rouble
Samoan Tala
Sao Tome/Principe Dobra
Saudi Riyal
Seychelles Rupee
Sierra Leone Leone
Singapore Dollar
Slovak Koruna
Slovenian Tolar
Solomon Islands Dollar
Somali Shilling
South African Rand
Spanish Peseta
Sri Lanka Rupee
St. Helena Pound
Sudanese Dinar
Sudanese Pound
Suriname Guilder
Swaziland Lilangeni
Swedish Krona
Swiss Franc
Syrian Pound
Taiwan Dollar
Tanzanian Shilling
Thai Baht
Tongan Pa'anga
Trinidad/Tobago Dollar
Tunisian Dinar
Turkish Lira
US Dollar
US Dollar
Uganda Shilling
Ukraine Gryvna
Ukraine Hryvnia
Ukraine Karbovanets
United Kingdom Pound
Uruguayan Peso
Utd. Arab Emir. Dirham
Vanuatu Vatu
Venezuelan Bolivar
Vietnamese Dong
Yugoslav Dinar
Zambian Kwacha
Zimbabwe Dollar
